title,platform,score,genre,release_year,release_month
Endless Dungeon,Xbox One,8,Action,2049,12
Endless Dungeon,PC,8,Action,2049,12
Endless Dungeon,PlayStation 4,8,Action,2049,12
Endless Dungeon,PlayStation 5,8,Action,2049,12
Hot Wheels Unleashed 2,PlayStation 5,8,Racing,2023,10
Hot Wheels Unleashed 2,Xbox One,8,Racing,2023,10
Hot Wheels Unleashed 2,PC,8,Racing,2023,10
Hot Wheels Unleashed 2,PlayStation 4,8,Racing,2023,10
Sonic Superstars,PC,7,SEGA,2023,10
Sonic Superstars,Xbox Series X|S,7,SEGA,2023,10
Sonic Superstars,Xbox One,7,SEGA,2023,10
Star Trek: Infinite,PC,5,PC,2023,10
Lords of the Fallen,PlayStation 5,8,Action,2023,10
Lords of the Fallen,PC,8,Action,2023,10
NHL 24,PlayStation 4,7,Sports,2023,10
NHL 24,Xbox One,7,Sports,2023,10
Total War: Pharaoh,PC,8,Action,2023,10
Total War: Pharaoh,Macintosh,8,Action,2023,10
Cricket 24,PC,5,Sports,2024,3
Cricket 24,Xbox One,5,Sports,2024,3
Cricket 24,PlayStation 4,5,Sports,2024,3
Cricket 24,PlayStation 5,5,Sports,2024,3
FC 24,Nintendo Switch,4,Sports,2023,9
FC 24,PC,4,Sports,2023,9
FC 24,PlayStation 4,4,Sports,2023,9
FC 24,Xbox One,4,Sports,2023,9
Assassin's Creed Mirage,PlayStation 5,8,Ubisoft,2024,6
Assassin's Creed Mirage,Xbox One,8,Ubisoft,2024,6
Assassin's Creed Mirage,PC,8,Ubisoft,2024,6
Forza Motorsport,PC,8,Racing,2023,10
High on Knife,PC,6,Action,2023,10
Avatar: The Last Airbender: Quest for Balance,Xbox One,4,Action,2023,9
Avatar: The Last Airbender: Quest for Balance,PlayStation 4,4,Action,2023,9
Avatar: The Last Airbender: Quest for Balance,PC,4,Action,2023,9
Cocoon,Nintendo Switch,9,Action,2023,9
Cocoon,PlayStation 4,9,Action,2023,9
Cocoon,PC,9,Action,2023,9
The Lamplighters League,PC,7,Adventure,2023,10
FC 24,Nintendo Switch,7,Sports,2023,9
FC 24,PC,7,Sports,2023,9
FC 24,PlayStation 4,7,Sports,2023,9
FC 24,Xbox One,7,Sports,2023,9
Super Bomberman R2,Xbox Series X|S,7,Action,2023,9
Super Bomberman R2,PlayStation 4,7,Action,2023,9
Super Bomberman R2,PC,7,Action,2023,9
Super Bomberman R2,Xbox One,7,Action,2023,9
Mineko's Night Market,PC,5,Adventure,2023,10
Mineko's Night Market,Xbox Series X|S,5,Adventure,2023,10
